name,address,tags,rate,ID,representative_menu,place_price,menu_list,iamge_URL
연해장,서울 중구 다산로44길 90 1층 연해장,한식,5.0,1325161415,돼지곱창전골 小,30000,"{'돼지곱창전골 中': 35000, '돼지곱창전골 大': 40000, '감자전': 16000, '묵은지말이': 6000, '묵은지곱창 볶음밥 (2인분)': 10000}",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230428_186%2F1682653164942zklkK_JPEG%2F%25BF%25AC%25C7%25D8%25C0%25E5_-__%252812%2529.jpg
필동면옥,서울 중구 서애로 26,한식,5.0,11678838,냉면,14000,"{'비빔': 14000, '온면': 14000, '사리': 9000, '접시만두': 14000, '만두국': 14000, '제육': 30000, '수육': 32000}",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220815_107%2F1660543682523qkdYr_JPEG%2FScreenshot_20220813-201908_Instagram.jpg
농민백암순대 시청직영점,서울 중구 남대문로1길 33,한식,5.0,37882995,국밥,10000,"{'술국': 19000, '모둠수육': 36000, '오소리감투': 18000, '토종순대': 13000, '국밥(특)': 12000, '국밥(정식)': 15000}",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160513_148%2F1463116539547EdEXt_JPEG%2F176460638428389_0.jpeg
미성옥,서울 중구 명동길 25-11,한식,5.0,11727415,설렁탕,11000,"{'설렁탕 특': 13000, '수육(소)': 35000, '수육 (대)': 45000}",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_153%2F1441030525832WYAC0_JPEG%2F166755615825157_0.jpg
을지다래,서울 중구 충무로5길 25-1 1층,한식,5.0,1296899181,낙곱새,15900,"{'불낙새': 15900, '아보카도 육회': 29000, '한우뭉티기': 29000, '짜계치': 7000}",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231113_169%2F1699866291925WkiHN_JPEG%2FKakaoTalk_20231113_162815559_17.jpg
조조칼국수 시청점,서울 중구 세종대로11길 27 조조칼국수,한식,5.0,1092504291,동죽칼국수,9000,"{'낙지해물파전': 13000, '물총조개탕': 12000, '호랑이막걸리': 5000, '지평생막걸리': 5000, '밤막걸리': 5000, '느린마을': 6000}",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230808_126%2F1691469479213rvvyd_JPEG%2FKakaoTalk_20230726_194151785_03.jpg
이남장 을지로본점,서울 중구 삼일대로12길 16,한식,5.0,11679393,설렁탕,12000,"{'설렁탕 (특)': 20000, '내장탕': 13000, '내장탕 (특)': 20000, '족탕': 27000, '도가니탕': 27000, '수육 (소)': 55000, '수육 (대)': 60000, '족수육-소': 65000, '족반수반': 70000, '모듬수육': 75000, '육회 / 소': 30000, '육회 / 대': 40000, '족수육-대': 75000}",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_256%2F1441017840950kRVuq_JPEG%2F11679393_0.jpg
연타발 서울역점,서울 중구 퇴계로 10 B1층,한식,5.0,1120274637,특양구이,41000,"{'한우대창구이': 40000, '한우등심': 40000, '한우벌집육회': 36000, '운동장갈비': 97000, '양념본갈비': 36000, '양념본갈비정식': 33000, '곱창전골': 26000, '연타발갈비김치찌개': 15000, '양밥/양치밥': 22000, '왕갈비탕': 22000, '문어갈비탕': 26000, '한우육회비빔밥': 13000, '된장찌개+공기밥(누룽지)': 6000}",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200813_18%2F15973060385048fhLX_JPEG%2FGPyNgGbETj0OBcNMSb11UIom.jpg
땡초곱창,서울 중구 퇴계로87길 54,한식,5.0,12031284,땡초곱창,13000,"{'야채곱창': 12000, '소금구이': 13000, '양념구이': 13000, '소곱창': 15000, '오돌뼈': 12000, '닭발': 12000, '피자치즈': 3000, '볶음밥': 3000, '공기밥': 1000}",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_298%2F1441003627559KaVA4_JPEG%2F106175617358425_0.jpg
신당육,"서울 중구 다산로46길 36 2층, 3층, 4층",한식,5.0,1041655574,'신'세트 (540G),47000,"{""'당'세트 (720G)"": 63000, ""'육'세트 (900G)"": 79000, '신당숙성소갈비살 (180G)': 19000, '차돌박이 (180G)': 18000, '신당숙성삼겹살 (180G)': 16000, '신당숙성오겹살 (180G)': 16000, '신당숙성목살 (180G)': 16000, '신당숙성 항정살 (180G)': 18000, '돼지양념구이 (250G)': 15000, '껍데기 (120G)': 10000, '홍게짬뽕라면': 11000, '차돌된장찌개': 8000, '김치찌개': 8000, '비빔냉면': 7000}",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230628_101%2F1687931708218F7bEo_JPEG%2FKakaoTalk_20230627_213928362_12.jpg
