name,address,tags,rate,ID,iamge_URL
타워PC카페,서울 서대문구 서소문로 21 1층 타워PC카페,"중구, 게임/오락",5.0,1333847321,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180912_199%2F15367391325736V6gm_JPEG%2FKXf395LcGHCgwzxbZPL8MbOc.jpg
탑플레이스 피씨방,서울 종로구 돈화문로11길 23 드래곤 팰리스 오피스텔 지하 1층,"중구, 게임/오락",5.0,1942260459,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220617_148%2F1655460735297qDFLC_JPEG%2F%25B0%25A3%25C6%25C7.jpeg
드림 코인 노래연습장,서울 종로구 종로12길 14 3층,"중구, 게임/오락",5.0,1710676941,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190131_61%2F1548910689768QVOGF_JPEG%2Fa-aQ_8Z0o_70VTYflvLwnLKs.jpg
이스포츠PC방,서울 성동구 고산자로 234 나래타워 지하1층 이스포츠 PC방,"중구, 게임/오락",5.0,1337170229,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230705_187%2F1688538473564QPNgL_PNG%2F%25C0%25CC%25BD%25BA%25C6%25F7%25C3%25F7_%25B7%25CE%25B0%25ED.
제노PC방,서울 종로구 자하문로2길 4 경복빌딩 지하2층,"중구, 게임/오락",5.0,1120323394,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230207_229%2F1675781152119FPed8_JPEG%2F20230119_215228.jpg
슈가코인노래연습장 공덕점,서울 마포구 마포대로 180 지하 1층,"중구, 게임/오락",5.0,1535961847,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220126_176%2F1643165813087bEW6U_JPEG%2FScreenshot_20220126-114050_Instagram.jpg
스마일코인노래방,서울 서대문구 충정로11길 8 3층,"중구, 게임/오락",5.0,1575882208,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181127_206%2F1543322271369cWMXY_JPEG%2Fkcu0CJnpJKd-CdJMuijIUJ1F.jpg
피씨앤푸드 용두점,서울 동대문구 한빛로 74 3층 피씨앤푸드,"중구, 게임/오락",5.0,1015235466,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220712_119%2F1657595352779xExDD_JPEG%2FAnyConv.com__%25BF%25EB%25B5%25CE1.jpg
피씨클럽블랙 1호점,서울 용산구 청파로47길 66 중하빌딩,"중구, 게임/오락",5.0,442415766,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190925_113%2F1569414639544Y8H3d_JPEG%2FT21TmGNXyCkdFevARfN74Erf.jpg
노래야노래야노래연습장,서울 용산구 이태원로27가길 58 3층,"중구, 게임/오락",5.0,1590855087,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230203_122%2F1675433663698MhJVt_JPEG%2F81280317-5B26-41F8-A7E1-0D7E22E62459.jpeg
제노피씨방,서울 종로구 종로 335 원풍빌딩,"중구, 게임/오락",5.0,37943938,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210122_231%2F1611248955870OcNBz_JPEG%2F8UG0PxHilGJnKP6UN0e_uvwd.jpg
뮤즈코인노래연습장,서울 마포구 백범로37길 22 지하1층,"중구, 게임/오락",5.0,1112046601,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230207_158%2F1675754118840yY6pY_JPEG%2F1675556250442-0_%25281%2529.jpg
쓰리팝PC방,서울 마포구 마포대로14길 21,"중구, 게임/오락",5.0,1361646651,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190917_247%2F1568691883454HvKT3_JPEG%2FKRh_ShisTkxE8_v27IWH_LPP.jpeg.jpg
zero 100 pc방,서울 성동구 왕십리로 333,"중구, 게임/오락",5.0,1292949110,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181029_298%2F1540806161176da3SO_JPEG%2FoOondNeJVJsMZaGSI-Wm3UDL.jpg
